Data;Wartość
2025-04-25 08:00:00;38.2
2025-04-25 07:00:00;41.9
2025-04-25 06:00:00;47.1
2025-04-25 05:00:00;66
2025-04-25 04:00:00;65.5
2025-04-25 03:00:00;62
2025-04-25 02:00:00;62.7
2025-04-25 01:00:00;63.7
2025-04-25 00:00:00;61.4
2025-04-24 23:00:00;55.8
2025-04-24 22:00:00;48.8
2025-04-24 21:00:00;45.7
2025-04-24 20:00:00;44.5
2025-04-24 19:00:00;86.3
2025-04-24 18:00:00;95.9
2025-04-24 17:00:00;98.3
2025-04-24 16:00:00;110.7
2025-04-24 15:00:00;109.1
2025-04-24 14:00:00;107.7
2025-04-24 13:00:00;106.6
2025-04-24 12:00:00;103.3
2025-04-24 11:00:00;77.9
2025-04-24 10:00:00;74.2
2025-04-24 09:00:00;65.7
2025-04-24 08:00:00;64
2025-04-24 07:00:00;67.4
2025-04-24 06:00:00;68
2025-04-24 05:00:00;65.6
2025-04-24 04:00:00;53.2
2025-04-24 03:00:00;56.2
2025-04-24 02:00:00;70.2
2025-04-24 01:00:00;71.5
2025-04-24 00:00:00;75.8
2025-04-23 23:00:00;69.7
2025-04-23 22:00:00;68.6
2025-04-23 21:00:00;67.1
2025-04-23 20:00:00;78.9
2025-04-23 19:00:00;102.1
2025-04-23 18:00:00;106.2
2025-04-23 17:00:00;98.1
2025-04-23 16:00:00;95.8
2025-04-23 15:00:00;101.1
2025-04-23 14:00:00;95.6
2025-04-23 13:00:00;95.8
2025-04-23 12:00:00;98.7
2025-04-23 11:00:00;93.9
2025-04-23 10:00:00;84.4
2025-04-23 09:00:00;57.3
2025-04-23 08:00:00;32.2
2025-04-23 07:00:00;4.1
2025-04-23 06:00:00;8.4
2025-04-23 05:00:00;13.5
2025-04-23 04:00:00;2.3
2025-04-23 03:00:00;1.5
2025-04-23 02:00:00;3.8
